"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"US-ARM", "89260", "GRP_HEIGHTC", "harvest (winter wheat)", "0.4", "Mean", , , "20030725", , , , , , 
"US-ARM", "89261", "GRP_HEIGHTC", "planted with Jaeger (hard red winter wheat)", "0", "Mean", , , "20011002", , , , , , 
"US-ARM", "89262", "GRP_HEIGHTC", "harvest", "0.4", "Mean", , , "20060621", , , , , , 
"US-Atq", "89481", "GRP_HEIGHTC", , "0.1", "Mean", , , "2008", , , , , , 
"US-Atq", "89482", "GRP_HEIGHTC", , "0.3", "Mean", , , "20050101", , , , , , 
"US-Aud", "25040", "GRP_HEIGHTC", , "15", , , , , , , , , , 
"US-Bar", "23851", "GRP_HEIGHTC", "12 FIA plots surrounding tower", "19", , , , "20040505", , , , , , 
"US-Bkg", "23758", "GRP_HEIGHTC", "(range 20-40) estimated", "30", , , , , , , , , , 
"US-Blo", "88366", "GRP_HEIGHTC", , "2.59", "Mean", , , "1999", , , , , , 
"US-Bo1", "23889", "GRP_HEIGHTC", , "3.0", , , , , , , , , , 
"US-Brw", "25105", "GRP_HEIGHTC", , "0.1", , , , "2008", , , , , , 
"US-CaV", "24143", "GRP_HEIGHTC", , "30", , , , , , , , , , 
"US-Cop", "88368", "GRP_HEIGHTC", , "0.5", "Expert estimate", , , "2003", , , , , , 
"US-CRT", "88202", "GRP_HEIGHTC", , "0.12", "Mean", , , "20121121", , , , , , 
"US-CRT", "88203", "GRP_HEIGHTC", , "1.125", "Mean", , , "20120928", , , , , , 
"US-CRT", "88204", "GRP_HEIGHTC", , "0.375", "Mean", , , "20120627", , , , , , 
"US-CRT", "88205", "GRP_HEIGHTC", , "0", "Mean", , , "20121002", , , , , , 
"US-CRT", "88206", "GRP_HEIGHTC", , "0.52", "Mean", , , "20130515", , , , , , 
"US-CRT", "88207", "GRP_HEIGHTC", , "0.15", "Mean", , , "20110705", , , , , , 
"US-CRT", "88208", "GRP_HEIGHTC", , "0", "Mean", , , "20121001", , , , , , 
"US-CRT", "88209", "GRP_HEIGHTC", , "0", "Mean", , , "20111024", , , , , , 
"US-CRT", "88210", "GRP_HEIGHTC", , "1.14", "Mean", , , "20130703", , , , , , 
"US-CRT", "88211", "GRP_HEIGHTC", , "0.35", "Mean", , , "20130716", , , , , , 
"US-CRT", "88212", "GRP_HEIGHTC", , "0.45", "Mean", , , "20110726", , , , , , 
"US-CRT", "88213", "GRP_HEIGHTC", , "0.975", "Mean", , , "20110819", , , , , , 
