"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI_ORGANIZATION", "DOI_ORGANIZATION_ROLE", 
"US-Ha1", "31835", "GRP_DOI_ORGANIZATION", "Harvard University", "Originator", 
"US-Ha2", "32065", "GRP_DOI_ORGANIZATION", "DOE/TCP, NSF", "Sponsor", 
"US-Ha2", "32066", "GRP_DOI_ORGANIZATION", "Harvard University", "Originator", 
"US-Hn2", "87969", "GRP_DOI_ORGANIZATION", "Department of Energy, Office of Science", "Sponsor", 
"US-Hn2", "87978", "GRP_DOI_ORGANIZATION", "Washington State University", "Originator", 
"US-Hn2", "87982", "GRP_DOI_ORGANIZATION", "Pacific Northwest National Laboratory", "Originator", 
"US-Hn3", "86907", "GRP_DOI_ORGANIZATION", "Department of Energy, Office of Science", "Sponsor", 
"US-Hn3", "86908", "GRP_DOI_ORGANIZATION", "Pacific Northwest National Laboratory", "Originator", 
"US-Hn3", "86909", "GRP_DOI_ORGANIZATION", "Washington State University", "Originator", 
"US-Ho1", "32068", "GRP_DOI_ORGANIZATION", "DOE/NIGEC, USDA Forest Service", "Sponsor", 
"US-Ho1", "32069", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-Ho2", "32071", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Ho2", "32072", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-Ho3", "32074", "GRP_DOI_ORGANIZATION", "DOE/C Seq. Program", "Sponsor", 
"US-Ho3", "32075", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-HRA", "86622", "GRP_DOI_ORGANIZATION", "USDA, University of Arkansas, USGS", "Sponsor", 
"US-HRA", "86623", "GRP_DOI_ORGANIZATION", "University of Arkansas", "Originator", 
"US-HRC", "86620", "GRP_DOI_ORGANIZATION", "USDA, University of Arkansas, USGS", "Sponsor", 
"US-HRC", "86621", "GRP_DOI_ORGANIZATION", "USDA, ARS, DELTA WATER MANAGEMENT RESEARCH UNIT", "Originator", 
"US-HVa", "32077", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-HVa", "32078", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-IB1", "32080", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-IB1", "32081", "GRP_DOI_ORGANIZATION", "Argonne National Laboratory", "Originator", 
"US-IB2", "32083", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-IB2", "32084", "GRP_DOI_ORGANIZATION", "Argonne National Laboratory", "Originator", 
"US-ICh", "32304", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-ICh", "32305", "GRP_DOI_ORGANIZATION", "University of Alaska Fairbanks", "Originator", 
"US-ICh", "32306", "GRP_DOI_ORGANIZATION", "Marine Biological Laboratory", "Originator", 
