"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_FUNDING", 
"US-Me5", "5024", "GRP_SITE_FUNDING", "DOE/TCP, NASA Carbon Cycle Science", 
"US-Me6", "15600", "GRP_SITE_FUNDING", "DOE LBL", 
"US-Mj1", "29761", "GRP_SITE_FUNDING", "Montana Wheat and Barley Committee", 
"US-Mj2", "29741", "GRP_SITE_FUNDING", "Montana Wheat and Barley Committee", 
"US-MMS", "11727", "GRP_SITE_FUNDING", "DOE/NIGEC", 
"US-MOz", "17094", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Mpj", "30390", "GRP_SITE_FUNDING", "DOE-BER, USFS, DOE EPSCoR", 
"US-MRf", "4114", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-MRM", "30534", "GRP_SITE_FUNDING", "none", 
"US-MtB", "87247", "GRP_SITE_FUNDING", "United States National Science Foundation", 
"US-Myb", "11205", "GRP_SITE_FUNDING", "California Department of Water Resources", 
"US-NC1", "12832", "GRP_SITE_FUNDING", "USDA FS,  DOE", 
"US-NC2", "12861", "GRP_SITE_FUNDING", "USDA Forest Service, DOE-BER-TES-AMP", 
"US-NC3", "12889", "GRP_SITE_FUNDING", "USDA FS,  DOE-TES-AMP", 
"US-NC4", "12912", "GRP_SITE_FUNDING", "USDA FS,  DOE-TES, DOE-TES-AMP", 
"US-Ne1", "1612", "GRP_SITE_FUNDING", "DOE (OBER & EPSCoR)", 
"US-Ne2", "756", "GRP_SITE_FUNDING", "DOE (OBER & EPSCoR)", 
"US-Ne3", "6708", "GRP_SITE_FUNDING", "DOE (OBER & EPSCoR)", 
"US-NGB", "13264", "GRP_SITE_FUNDING", "DOE_BER", 
"US-NGC", "85183", "GRP_SITE_FUNDING", "U.S. Department of Energy", 
"US-NMj", "6709", "GRP_SITE_FUNDING", "NSF", 
"US-NR1", "11585", "GRP_SITE_FUNDING", "NSF", 
"US-NR2", "29777", "GRP_SITE_FUNDING", "USGS core research funding", 
"US-Nrf", "30918", "GRP_SITE_FUNDING", "USGS, USFWS", 
"US-Nrs", "30878", "GRP_SITE_FUNDING", "USGS, USFWS", 
"US-OF1", "30657", "GRP_SITE_FUNDING", "USDA, Arkansas State University, University of Arkansas", 
"US-OF2", "30638", "GRP_SITE_FUNDING", "USDA, Arkansas State University, University of Arkansas", 
"US-Oho", "12799", "GRP_SITE_FUNDING", "USDA", 
"US-ORv", "11226", "GRP_SITE_FUNDING", "NSF, The Ohio State University, USGS, Ohio Water Development Authority", 
"US-PFa", "15242", "GRP_SITE_FUNDING", "DOE Ameriflux Network Management Project, NOAA ESRL", 
"US-PFb", "87414", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFc", "87437", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFd", "87460", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFe", "87483", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFf", "87506", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFg", "87537", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFh", "87556", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFi", "87579", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFj", "87602", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFk", "87621", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFL", "87653", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFm", "87667", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFn", "87690", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFo", "87713", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
